pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
TMO-DHR,2022-11-10 15:17:00+00:00,2022-11-10 15:19:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,197.47391139352112,-116.46877021975148,261.48,515.24,261.42,515.47,1.3250760251287375,1.1294235890093773,-0.19565243611936012,-2.9150693469089797,-3.0528482265197354,-0.13777887961075574,-44.21924117924016,5.5829893450834795,adverse
TMO-DHR,2022-11-10 15:20:00+00:00,2022-11-10 16:44:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,192.43016222203636,-113.49400125328741,261.22,514.43,263.15,513.62,1.5428085175490196,3.950541009969129,2.4077324924201093,-2.6631540036312136,-0.3089198640620444,2.354234139569169,457.87381479805504,5.446539305622117,mean_revert
UPS-FDX,2022-11-09 18:00:00+00:00,2022-11-10 16:57:00+00:00,-1,-105.91782680500532,1.5737583277838052,550.8875965246942,-122.25829708299462,192.40501317502927,158.9,165.86,167.14,172.23,3.794270558783353,2.009430010800571,-1.7848405479827818,1.7217078922882125,0.3410841378493359,-1.3806237544388766,215.5329576013791,2.67860835967935,mean_revert
MAR-HLT,2022-11-10 14:34:00+00:00,2022-11-10 20:44:00+00:00,-1,23.086381134654307,0.6961505803645069,259.16021980670257,-237.43693093882132,165.29185727302783,135.95,156.68,136.48,158.03,3.790745933834728,3.3809426503426323,-0.4098032834920957,2.2406505770898377,0.37566753705983164,-1.864983040030006,94.37611069404171,2.9263232269693455,mean_revert
TMO-DHR,2022-11-11 14:30:00+00:00,2022-11-11 14:34:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,247.42454765924026,-145.9293158508606,268.56,528.24,269.86,531.33,0.737764418384188,0.21530342878111242,-0.5224609896030756,-2.8633361437053857,-3.2038814195509344,-0.3405452758455487,-136.48500461326677,7.215330591118018,adverse
TMO-DHR,2022-11-11 14:37:00+00:00,2022-11-11 15:14:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,260.3500865575803,-153.55271080614287,269.57,529.44,275.87,542.11,1.0400125777616154,-0.13266727281154544,-1.1726798505731608,-2.5255907758784013,-3.048611143295152,-0.5230203674167506,-313.0605625227529,7.75326192168789,adverse
TMO-DHR,2022-11-11 15:15:00+00:00,2022-11-11 15:16:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,326.72656266392096,-192.7011050880614,276.25,542.61,276.53,543.78,-0.04756387307099885,-0.4576219176780114,-0.41005804460701256,-2.9687875523337337,-3.2331532184549743,-0.2643656661212406,-143.733690572047,9.756835164912005,adverse
TMO-DHR,2022-11-11 15:29:00+00:00,2022-11-11 15:57:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,327.83116450085276,-193.35259174076438,275.01,540.8,273.8,541.41,-0.22003818013195087,-1.789812032448424,-1.569773852316473,-2.7629264474293986,-3.289372997025101,-0.5264465495957023,-524.3429499846291,9.722159976735036,adverse
TMO-DHR,2022-11-11 15:59:00+00:00,2022-11-11 16:00:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,325.6218843027055,-192.04957330185627,274.46,541.79,274.98,542.99,-1.3539334486455914,-1.5416852892681163,-0.18775184062252492,-2.9903027726572597,-3.0762163706186594,-0.08591359796139963,-70.82713330245346,9.691025177636645,adverse
TMO-DHR,2022-11-11 16:01:00+00:00,2022-11-11 16:03:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,326.8662789637559,-192.78350881170573,274.58,542.14,274.66,542.92,-1.4403610688271442,-1.820399765231798,-0.3800386964046538,-2.9978021792551153,-3.1711640373806342,-0.17336185812551896,-133.9439902952232,9.722155739211823,adverse
