,equity
2023-04-13 18:16:00+00:00,11767.649689955979
2023-04-13 18:17:00+00:00,11767.649689955979
2023-04-13 18:18:00+00:00,11767.649689955979
2023-04-13 18:19:00+00:00,11767.649689955979
2023-04-13 18:20:00+00:00,11767.649689955979
2023-04-13 18:21:00+00:00,11767.649689955979
2023-04-13 18:22:00+00:00,11767.649689955979
2023-04-13 18:23:00+00:00,11767.649689955979
2023-04-13 18:24:00+00:00,11767.649689955979
2023-04-13 18:25:00+00:00,11767.649689955979
2023-04-13 18:26:00+00:00,11767.649689955979
2023-04-13 18:27:00+00:00,11767.649689955979
2023-04-13 18:28:00+00:00,11767.649689955979
2023-04-13 18:29:00+00:00,11767.649689955979
2023-04-13 18:30:00+00:00,11767.649689955979
2023-04-13 18:31:00+00:00,11767.649689955979
2023-04-13 18:32:00+00:00,11767.649689955979
2023-04-13 18:33:00+00:00,11767.649689955979
2023-04-13 18:34:00+00:00,11767.649689955979
2023-04-13 18:35:00+00:00,11767.649689955979
2023-04-13 18:36:00+00:00,11767.649689955979
2023-04-13 18:37:00+00:00,11767.649689955979
2023-04-13 18:38:00+00:00,11767.649689955979
2023-04-13 18:39:00+00:00,11767.649689955979
2023-04-13 18:40:00+00:00,11767.649689955979
2023-04-13 18:41:00+00:00,11767.649689955979
2023-04-13 18:42:00+00:00,11767.649689955979
2023-04-13 18:43:00+00:00,11767.649689955979
2023-04-13 18:44:00+00:00,11767.649689955979
2023-04-13 18:45:00+00:00,11767.649689955979
2023-04-13 18:46:00+00:00,11767.649689955979
2023-04-13 18:47:00+00:00,11767.649689955979
2023-04-13 18:48:00+00:00,11767.649689955979
2023-04-13 18:49:00+00:00,11767.649689955979
2023-04-13 18:50:00+00:00,11767.649689955979
2023-04-13 18:51:00+00:00,11767.649689955979
2023-04-13 18:52:00+00:00,11767.649689955979
2023-04-13 18:53:00+00:00,11767.649689955979
2023-04-13 18:54:00+00:00,11767.649689955979
2023-04-13 18:55:00+00:00,11767.649689955979
2023-04-13 18:56:00+00:00,11767.649689955979
2023-04-13 18:57:00+00:00,11767.649689955979
2023-04-13 18:58:00+00:00,11767.649689955979
2023-04-13 18:59:00+00:00,11767.649689955979
2023-04-13 19:00:00+00:00,11767.649689955979
